Date,City,Longitude,Latitude,PM2.5 (µg/m³),PM10 (µg/m³)
2015-02-04,Xi'an,108.9355,34.3416,0,0
2015-02-04,Shenyang,123.4291,41.7968,0,0
2015-02-04,Almaty,76.8512,43.222,0,0
2015-02-04,Bishkek,74.5698,42.8746,0,0
2015-02-04,Dushanbe,68.7864,38.5481,0,0
2015-02-04,Kathmandu,85.324,27.7172,0,0
2015-02-04,Yangon,96.1951,16.8409,0,0
2015-02-04,Guwahati,91.7362,26.1445,0,0
2015-02-04,Ulaanbaatar,106.9057,47.8864,0,0
2015-02-04,Irkutsk,104.2964,52.2869,0,0
2015-02-04,Vladivostok,131.8869,43.1155,0,0
2015-02-05,Seoul,126.978,37.5665,0,0
2015-02-05,Tokyo,139.6917,35.6895,0,0
2015-02-05,Beijing,116.4074,39.9042,0,0
2015-02-05,Delhi,77.1025,28.7041,0,0
2015-02-05,Bangkok,100.5018,13.7563,0,0
2015-02-05,Busan,129.0756,35.1796,0,0
2015-02-05,Incheon,126.7052,37.4563,0,0
2015-02-05,Daegu,128.5911,35.8704,0,0
2015-02-05,Osaka,135.5023,34.6937,0,0
2015-02-05,Nagoya,136.9066,35.1802,0,0
2015-02-05,Sapporo,141.3545,43.0618,0,0
2015-02-05,Fukuoka,130.4017,33.5904,0,0
2015-02-05,Kyoto,135.7681,35.0116,0,0
2015-02-05,Shanghai,121.4737,31.2304,0,0
2015-02-05,Guangzhou,113.2644,23.1291,0,0
2015-02-05,Chongqing,106.5516,29.563,0,0
2015-02-05,Tianjin,117.1902,39.1256,0,0
2015-02-05,Wuhan,114.3055,30.5928,0,0
2015-02-05,Nanjing,118.7969,32.0603,0,0
2015-02-05,Hangzhou,120.1551,30.2741,0,0
2015-02-05,Chengdu,104.0668,30.5728,0,0
2015-02-05,Xi'an,108.9355,34.3416,0,0
2015-02-05,Shenyang,123.4291,41.7968,0,0
2015-02-05,Almaty,76.8512,43.222,0,0
2015-02-05,Bishkek,74.5698,42.8746,0,0
2015-02-05,Dushanbe,68.7864,38.5481,0,0
2015-02-05,Kathmandu,85.324,27.7172,0,0
2015-02-05,Yangon,96.1951,16.8409,0,0
2015-02-05,Guwahati,91.7362,26.1445,0,0
2015-02-05,Ulaanbaatar,106.9057,47.8864,0,0
2015-02-05,Irkutsk,104.2964,52.2869,0,0
2015-02-05,Vladivostok,131.8869,43.1155,0,0
2015-02-06,Seoul,126.978,37.5665,0,0
2015-02-06,Tokyo,139.6917,35.6895,0,0
2015-02-06,Beijing,116.4074,39.9042,0,0
2015-02-06,Delhi,77.1025,28.7041,0,0
2015-02-06,Bangkok,100.5018,13.7563,0,0
2015-02-06,Busan,129.0756,35.1796,0,0
2015-02-06,Incheon,126.7052,37.4563,0,0
2015-02-06,Daegu,128.5911,35.8704,0,0
2015-02-06,Osaka,135.5023,34.6937,0,0
2015-02-06,Nagoya,136.9066,35.1802,0,0
2015-02-06,Sapporo,141.3545,43.0618,0,0
2015-02-06,Fukuoka,130.4017,33.5904,0,0
2015-02-06,Kyoto,135.7681,35.0116,0,0
2015-02-06,Shanghai,121.4737,31.2304,0,0
2015-02-06,Guangzhou,113.2644,23.1291,0,0
2015-02-06,Chongqing,106.5516,29.563,0,0
2015-02-06,Tianjin,117.1902,39.1256,0,0
2015-02-06,Wuhan,114.3055,30.5928,0,0
2015-02-06,Nanjing,118.7969,32.0603,0,0
2015-02-06,Hangzhou,120.1551,30.2741,0,0
2015-02-06,Chengdu,104.0668,30.5728,0,0
2015-02-06,Xi'an,108.9355,34.3416,0,0
2015-02-06,Shenyang,123.4291,41.7968,0,0
2015-02-06,Almaty,76.8512,43.222,0,0
2015-02-06,Bishkek,74.5698,42.8746,0,0
2015-02-06,Dushanbe,68.7864,38.5481,0,0
2015-02-06,Kathmandu,85.324,27.7172,0,0
2015-02-06,Yangon,96.1951,16.8409,0,0
2015-02-06,Guwahati,91.7362,26.1445,0,0
2015-02-06,Ulaanbaatar,106.9057,47.8864,0,0
2015-02-06,Irkutsk,104.2964,52.2869,0,0
2015-02-06,Vladivostok,131.8869,43.1155,0,0
2015-02-07,Seoul,126.978,37.5665,0,0
2015-02-07,Tokyo,139.6917,35.6895,0,0
2015-02-07,Beijing,116.4074,39.9042,0,0
2015-02-07,Delhi,77.1025,28.7041,0,0
2015-02-07,Bangkok,100.5018,13.7563,0,0
2015-02-07,Busan,129.0756,35.1796,0,0
2015-02-07,Incheon,126.7052,37.4563,0,0
2015-02-07,Daegu,128.5911,35.8704,0,0
2015-02-07,Osaka,135.5023,34.6937,0,0
2015-02-07,Nagoya,136.9066,35.1802,0,0
2015-02-07,Sapporo,141.3545,43.0618,0,0
2015-02-07,Fukuoka,130.4017,33.5904,0,0
2015-02-07,Kyoto,135.7681,35.0116,0,0
2015-02-07,Shanghai,121.4737,31.2304,0,0
2015-02-07,Guangzhou,113.2644,23.1291,0,0
2015-02-07,Chongqing,106.5516,29.563,0,0
2015-02-07,Tianjin,117.1902,39.1256,0,0
2015-02-07,Wuhan,114.3055,30.5928,0,0
2015-02-07,Nanjing,118.7969,32.0603,0,0
2015-02-07,Hangzhou,120.1551,30.2741,0,0
2015-02-07,Chengdu,104.0668,30.5728,0,0
2015-02-07,Xi'an,108.9355,34.3416,0,0
2015-02-07,Shenyang,123.4291,41.7968,0,0
2015-02-07,Almaty,76.8512,43.222,0,0
2015-02-07,Bishkek,74.5698,42.8746,0,0
2015-02-07,Dushanbe,68.7864,38.5481,0,0
2015-02-07,Kathmandu,85.324,27.7172,0,0
2015-02-07,Yangon,96.1951,16.8409,0,0
2015-02-07,Guwahati,91.7362,26.1445,0,0
2015-02-07,Ulaanbaatar,106.9057,47.8864,0,0
2015-02-07,Irkutsk,104.2964,52.2869,0,0
2015-02-07,Vladivostok,131.8869,43.1155,0,0
2015-02-08,Seoul,126.978,37.5665,0,0
